,id,host_id,host_since,host_is_superhost,host_listings_count,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,is_location_exact,property_type,room_type,bedrooms,beds,bed_type,price,availability_365
2535,8383833,40532977,2015-08-04,f,5.0,t,Bedford-Stuyvesant,Brooklyn,40.6794119708741,-73.91271742966451,t,Apartment,Private room,1.0,1.0,Real Bed,$33.00,0
2539,4975801,922478,2011-08-04,f,2.0,t,Bedford-Stuyvesant,Brooklyn,40.684518629767936,-73.95879116930264,t,Apartment,Entire home/apt,2.0,2.0,Real Bed,$145.00,356
2540,18736721,103147310,2016-11-09,f,2.0,t,Bedford-Stuyvesant,Brooklyn,40.68110365422186,-73.91949278122743,t,Apartment,Private room,1.0,1.0,Real Bed,$51.00,63
2541,19288734,102595868,2016-11-05,f,1.0,t,Bedford-Stuyvesant,Brooklyn,40.69263033918145,-73.95604881210419,t,Apartment,Private room,1.0,1.0,Real Bed,$90.00,330
2542,4059037,20441343,2014-08-23,f,1.0,t,Bedford-Stuyvesant,Brooklyn,40.69586842535993,-73.95113658592321,t,Apartment,Private room,1.0,1.0,Real Bed,$100.00,336
2545,7728262,23420949,2014-11-06,f,1.0,t,Bedford-Stuyvesant,Brooklyn,40.69451388131288,-73.94419286621826,t,Apartment,Entire home/apt,1.0,2.0,Real Bed,$70.00,0
2546,19786549,16534981,2014-06-08,f,5.0,t,Bedford-Stuyvesant,Brooklyn,40.68141188484381,-73.93301015022101,t,Townhouse,Entire home/apt,1.0,2.0,Real Bed,$68.00,226
2548,4183801,21706654,2014-09-23,t,1.0,t,Bedford-Stuyvesant,Brooklyn,40.68453769363379,-73.93177578359422,t,Apartment,Entire home/apt,1.0,2.0,Real Bed,$120.00,345
2549,20048459,41827222,2015-08-18,f,2.0,t,Bedford-Stuyvesant,Brooklyn,40.69415962136456,-73.9511667184066,t,Apartment,Private room,1.0,1.0,Real Bed,$50.00,0
2553,19786240,20063690,2014-08-15,t,2.0,t,Bedford-Stuyvesant,Brooklyn,40.688273367504976,-73.94943340697466,t,Townhouse,Entire home/apt,4.0,4.0,Real Bed,$695.00,123
2554,1173994,6387598,2013-05-14,f,1.0,t,Bedford-Stuyvesant,Brooklyn,40.68177493537857,-73.93889577173145,t,Apartment,Entire home/apt,2.0,4.0,Real Bed,$176.00,131
2555,518576,2155917,2012-04-16,f,2.0,t,Bedford-Stuyvesant,Brooklyn,40.68812177185777,-73.946265058396,t,Apartment,Entire home/apt,3.0,4.0,Real Bed,$250.00,3
2556,7727560,2335981,2012-05-10,f,2.0,t,Bedford-Stuyvesant,Brooklyn,40.694818170976454,-73.93831943913463,t,Apartment,Private room,1.0,1.0,Real Bed,$60.00,0
2558,3533180,254846,2010-10-06,f,4.0,t,Bedford-Stuyvesant,Brooklyn,40.688365095460966,-73.92560480532576,t,House,Entire home/apt,6.0,6.0,Real Bed,$399.00,305
2560,20189290,16534981,2014-06-08,f,5.0,t,Bedford-Stuyvesant,Brooklyn,40.678996635896944,-73.91077892019814,t,Apartment,Entire home/apt,1.0,1.0,Real Bed,$68.00,313
2561,19523873,75815079,2016-06-04,f,1.0,t,Bedford-Stuyvesant,Brooklyn,40.693544316378755,-73.9389391487772,t,Apartment,Private room,1.0,1.0,Real Bed,$76.00,0
2562,20905006,131976173,2017-05-25,f,4.0,t,Bedford-Stuyvesant,Brooklyn,40.69071912280812,-73.9549713964812,t,Apartment,Private room,1.0,1.0,Real Bed,$90.00,63
2563,19261697,67992400,2016-04-19,f,1.0,t,Bedford-Stuyvesant,Brooklyn,40.695300851336974,-73.93567142624889,t,Apartment,Private room,1.0,1.0,Real Bed,$50.00,0
2564,125163,622855,2011-05-24,t,2.0,t,Bedford-Stuyvesant,Brooklyn,40.68569065788417,-73.93037759928936,t,House,Private room,1.0,1.0,Real Bed,$99.00,342
2565,4188351,610819,2011-05-21,t,1.0,t,Bedford-Stuyvesant,Brooklyn,40.69388803423706,-73.9305808863097,t,Apartment,Entire home/apt,1.0,1.0,Real Bed,$125.00,25
2566,6166870,13708762,2014-03-30,f,1.0,t,Bedford-Stuyvesant,Brooklyn,40.68847418372266,-73.92666514735764,t,Apartment,Private room,1.0,1.0,Real Bed,$40.00,0
2567,257097,315401,2010-12-10,t,3.0,t,Bedford-Stuyvesant,Brooklyn,40.68225621850733,-73.9547325772705,t,Apartment,Entire home/apt,2.0,2.0,Real Bed,$200.00,346
2568,846549,4420306,2012-12-16,f,1.0,t,Bedford-Stuyvesant,Brooklyn,40.68940533362827,-73.95247139035367,t,Apartment,Private room,1.0,1.0,Real Bed,$60.00,0
2569,4840176,24909331,2014-12-16,f,1.0,t,Bedford-Stuyvesant,Brooklyn,40.690913740101145,-73.95493412640147,t,Apartment,Private room,1.0,1.0,Real Bed,$55.00,0
2572,6005910,23044811,2014-10-27,f,2.0,t,Bedford-Stuyvesant,Brooklyn,40.685693910838324,-73.94358402968764,t,Apartment,Entire home/apt,3.0,4.0,Real Bed,$99.00,166
2577,9049260,43019000,2015-08-31,f,2.0,t,Bedford-Stuyvesant,Brooklyn,40.688957088949046,-73.95208390130641,t,Apartment,Private room,1.0,1.0,Real Bed,$101.00,0
2579,255996,1345745,2011-10-28,f,1.0,t,Bedford-Stuyvesant,Brooklyn,40.68717478345091,-73.92250433217137,t,Apartment,Private room,1.0,1.0,Real Bed,$125.00,365
2582,6661170,1172109,2011-09-17,f,3.0,t,Bedford-Stuyvesant,Brooklyn,40.68237183648825,-73.93560379043798,t,Apartment,Private room,1.0,1.0,Real Bed,$40.00,260
2585,280046,87773,2010-03-03,f,2.0,t,Bedford-Stuyvesant,Brooklyn,40.682347705102956,-73.92292838730816,t,Apartment,Entire home/apt,1.0,2.0,Real Bed,$125.00,185
2588,4170460,21641206,2014-09-22,f,3.0,t,Bedford-Stuyvesant,Brooklyn,40.695601175150706,-73.9482688198348,t,Apartment,Private room,1.0,2.0,Real Bed,$65.00,298
2589,39704,170510,2010-07-18,t,2.0,t,Bedford-Stuyvesant,Brooklyn,40.683060947946245,-73.94658580197115,t,Apartment,Entire home/apt,1.0,1.0,Real Bed,$135.00,335
2591,2071546,4144342,2012-11-14,f,5.0,t,Bedford-Stuyvesant,Brooklyn,40.68165478534213,-73.95148973905084,t,House,Private room,1.0,2.0,Real Bed,$69.00,9
2592,17538067,21369808,2014-09-15,f,1.0,t,Bedford-Stuyvesant,Brooklyn,40.69612160067579,-73.94917843604773,t,Apartment,Private room,1.0,1.0,Real Bed,$55.00,0
2593,3473305,16718001,2014-06-12,f,1.0,t,Bedford-Stuyvesant,Brooklyn,40.6888681465234,-73.95013054884977,t,Apartment,Entire home/apt,1.0,1.0,Real Bed,$50.00,0
2594,19241899,16497191,2014-06-07,f,1.0,t,Bedford-Stuyvesant,Brooklyn,40.692006301085264,-73.95964202530476,t,Apartment,Private room,1.0,1.0,Real Bed,$86.00,345
2597,3775259,19356930,2014-08-02,t,1.0,t,Bedford-Stuyvesant,Brooklyn,40.68719533044171,-73.9380521644629,t,Apartment,Entire home/apt,2.0,3.0,Real Bed,$155.00,334
2598,4430645,819257,2011-07-14,f,1.0,t,Bedford-Stuyvesant,Brooklyn,40.688581408079855,-73.95224717831051,t,Apartment,Entire home/apt,2.0,2.0,Real Bed,$200.00,0
2599,500886,2206506,2012-04-23,t,2.0,t,Bedford-Stuyvesant,Brooklyn,40.688253160223866,-73.92951125771117,t,House,Private room,1.0,1.0,Real Bed,$85.00,346
